row,col,proxy_class,spatial_block,partition,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
328,494,4,47,development,0.013785005,0.0236575,0.020164996,0.080802485,0.044695005,0.024757504,0.60056454,-0.28771475,-0.30777955,-0.18644062
64,384,3,5,development,0.05130875,0.086811244,0.0944425,0.21240374,0.2075775,0.14903,0.3844311,-0.011491579,-0.41022715,0.067713134
342,97,3,51,development,0.06067249,0.09398875,0.09932375,0.2509175,0.2222625,0.162285,0.43282664,-0.060558334,-0.4056071,0.015787493
553,61,2,80,development,0.0929025,0.13577498,0.175375,0.25402498,0.27885753,0.2411,0.18316253,0.046600416,-0.3450828,0.1339371
546,85,2,81,outer_proxy_test,0.08918999,0.13162251,0.16096501,0.24313499,0.27586,0.23801999,0.20334071,0.0630546,-0.35397226,0.13586433
92,503,3,17,development,0.072222486,0.10987,0.12749751,0.23439,0.25240248,0.20711,0.29537493,0.037002373,-0.39343998,0.10675332
340,457,5,56,outer_proxy_test,0.043375,0.073776245,0.077447504,0.30435002,0.22427,0.131925,0.5943006,-0.15148881,-0.50493425,-0.07084154
333,117,3,41,development,0.070517495,0.105745,0.11317001,0.2470675,0.25537252,0.18018751,0.37169224,0.016529392,-0.41434577,0.07426835
509,450,4,76,development,0.031137496,0.057070002,0.047775,0.26959002,0.1548325,0.086715,0.6989271,-0.27038512,-0.461356,-0.19493979
127,410,5,16,development,0.093438745,0.13951501,0.1675375,0.33895877,0.34434876,0.25920874,0.3384453,0.007888086,-0.42332938,0.08417886
590,418,4,86,development,0.030670002,0.048861243,0.053206243,0.15288,0.108715,0.07374875,0.48365068,-0.16882968,-0.37984,-0.062606566
216,557,5,38,development,0.033612505,0.061813742,0.06408249,0.22263375,0.17104375,0.109361246,0.5529902,-0.13104634,-0.46908522,-0.0429817
92,212,2,13,development,0.07110874,0.11245501,0.13930875,0.24114124,0.22427,0.17937624,0.26766327,-0.036250185,-0.3320662,0.07594935
250,60,3,30,development,0.07248375,0.106350005,0.1257375,0.21984251,0.23998626,0.20636751,0.27231032,0.043807063,-0.38585696,0.11153785
15,449,1,6,development,0.081847504,0.121144995,0.14353,0.2198975,0.23810251,0.20815499,0.21013132,0.039748944,-0.3255625,0.116900995
