radius_m,w_lower,w_upper,component_id,component_name,rank,top3
500,0.670731707317073,0.6796116504854365,139-009,Giri complex,1,True
500,0.670731707317073,0.6796116504854365,139-010,Kunala,10,False
500,0.670731707317073,0.6796116504854365,139-011,Jandial,17,False
500,0.670731707317073,0.6796116504854365,139-012,Lalchak / Badalpur,15,False
500,0.670731707317073,0.6796116504854365,139-013,Mohra Moradu,7,False
500,0.670731707317073,0.6796116504854365,139-014,Pippala,12,False
500,0.670731707317073,0.6796116504854365,139-015,Jaulian,2,True
500,0.670731707317073,0.6796116504854365,139-016,Lalchak mounds,11,False
500,0.670731707317073,0.6796116504854365,139-017,Bhallar,13,False
500,0.670731707317073,0.6796116504854365,139-018,Giri Mosque / tombs,3,True
500,0.6796116504854365,0.6896551724137931,139-001,Khanpur Cave,14,False
500,0.6796116504854365,0.6896551724137931,139-003,Bhir Mound,16,False
500,0.6796116504854365,0.6896551724137931,139-004,Sirkap,9,False
500,0.6796116504854365,0.6896551724137931,139-005,Sirsukh,8,False
500,0.6796116504854365,0.6896551724137931,139-006,Dharmarajika,3,True
500,0.6796116504854365,0.6896551724137931,139-007,Khader Mohra,6,False
500,0.6796116504854365,0.6896551724137931,139-008,Kalawan,5,False
500,0.6796116504854365,0.6896551724137931,139-009,Giri complex,1,True
500,0.6796116504854365,0.6896551724137931,139-010,Kunala,10,False
500,0.6796116504854365,0.6896551724137931,139-011,Jandial,17,False
500,0.6796116504854365,0.6896551724137931,139-012,Lalchak / Badalpur,15,False
500,0.6796116504854365,0.6896551724137931,139-013,Mohra Moradu,7,False
500,0.6796116504854365,0.6896551724137931,139-014,Pippala,12,False
500,0.6796116504854365,0.6896551724137931,139-015,Jaulian,2,True
500,0.6796116504854365,0.6896551724137931,139-016,Lalchak mounds,11,False
500,0.6796116504854365,0.6896551724137931,139-017,Bhallar,13,False
500,0.6796116504854365,0.6896551724137931,139-018,Giri Mosque / tombs,4,False
500,0.6896551724137931,0.6968641114982577,139-001,Khanpur Cave,14,False
500,0.6896551724137931,0.6968641114982577,139-003,Bhir Mound,16,False
500,0.6896551724137931,0.6968641114982577,139-004,Sirkap,7,False
500,0.6896551724137931,0.6968641114982577,139-005,Sirsukh,8,False
500,0.6896551724137931,0.6968641114982577,139-006,Dharmarajika,3,True
500,0.6896551724137931,0.6968641114982577,139-007,Khader Mohra,6,False
500,0.6896551724137931,0.6968641114982577,139-008,Kalawan,5,False
500,0.6896551724137931,0.6968641114982577,139-009,Giri complex,1,True
500,0.6896551724137931,0.6968641114982577,139-010,Kunala,10,False
500,0.6896551724137931,0.6968641114982577,139-011,Jandial,17,False
500,0.6896551724137931,0.6968641114982577,139-012,Lalchak / Badalpur,15,False
500,0.6896551724137931,0.6968641114982577,139-013,Mohra Moradu,9,False
500,0.6896551724137931,0.6968641114982577,139-014,Pippala,12,False
500,0.6896551724137931,0.6968641114982577,139-015,Jaulian,2,True
500,0.6896551724137931,0.6968641114982577,139-016,Lalchak mounds,11,False
500,0.6896551724137931,0.6968641114982577,139-017,Bhallar,13,False
500,0.6896551724137931,0.6968641114982577,139-018,Giri Mosque / tombs,4,False
500,0.6968641114982577,0.7011070110701106,139-001,Khanpur Cave,14,False
500,0.6968641114982577,0.7011070110701106,139-003,Bhir Mound,16,False
500,0.6968641114982577,0.7011070110701106,139-004,Sirkap,6,False
500,0.6968641114982577,0.7011070110701106,139-005,Sirsukh,8,False
500,0.6968641114982577,0.7011070110701106,139-006,Dharmarajika,3,True
500,0.6968641114982577,0.7011070110701106,139-007,Khader Mohra,7,False
500,0.6968641114982577,0.7011070110701106,139-008,Kalawan,5,False
500,0.6968641114982577,0.7011070110701106,139-009,Giri complex,1,True
500,0.6968641114982577,0.7011070110701106,139-010,Kunala,10,False
500,0.6968641114982577,0.7011070110701106,139-011,Jandial,17,False
500,0.6968641114982577,0.7011070110701106,139-012,Lalchak / Badalpur,15,False
500,0.6968641114982577,0.7011070110701106,139-013,Mohra Moradu,9,False
500,0.6968641114982577,0.7011070110701106,139-014,Pippala,12,False
500,0.6968641114982577,0.7011070110701106,139-015,Jaulian,2,True
500,0.6968641114982577,0.7011070110701106,139-016,Lalchak mounds,11,False
500,0.6968641114982577,0.7011070110701106,139-017,Bhallar,13,False
500,0.6968641114982577,0.7011070110701106,139-018,Giri Mosque / tombs,4,False
500,0.7011070110701106,0.7017543859649119,139-001,Khanpur Cave,14,False
500,0.7011070110701106,0.7017543859649119,139-003,Bhir Mound,16,False
500,0.7011070110701106,0.7017543859649119,139-004,Sirkap,6,False
500,0.7011070110701106,0.7017543859649119,139-005,Sirsukh,8,False
500,0.7011070110701106,0.7017543859649119,139-006,Dharmarajika,3,True
500,0.7011070110701106,0.7017543859649119,139-007,Khader Mohra,7,False
