season_year,season,complete_period,valid_days,missing_weather_values,precipitation_sum_mm,precipitation_mean_mm_day,rx1day_mm,rx5day_mm,wet_days_ge1mm,heavy_precipitation_days,consecutive_wet_days,consecutive_dry_days,temperature_mean_c,tmax_mean_c,tmin_mean_c,annual_or_period_max_tmax_c,hot_days,heatwave_max_days,relative_humidity_mean_percent,dew_point_mean_c,soil_moisture_mean_m3m3,et0_sum_mm
2003,MAM,True,92,0,233.75000000000003,2.5407608695652177,55.2,90.25,26,2,3,8,20.359239130434784,26.76086956521738,13.501902173913045,37.45,1,1,56.62228260869565,9.949728260869565,0.2802690217391304,447.0
2003,Monsoon,True,92,0,489.09999999999997,5.316304347826087,42.25,103.9,51,2,7,8,26.92663043478261,31.26114130434783,22.700271739130436,38.05,1,1,74.82065217391305,21.682880434782607,0.33827445652173915,398.49
2003,Post-monsoon,True,61,0,49.0,0.8032786885245902,15.200000000000001,23.05,6,0,2,29,17.126639344262294,24.08934426229508,11.025409836065576,29.45,0,0,62.57786885245902,9.048360655737703,0.24756147540983606,181.16250000000002
2004,DJF,True,91,0,268.50000000000006,2.950549450549451,36.6,67.1,27,1,4,10,10.352747252747253,16.542032967032966,4.762912087912088,23.825,0,0,71.73351648351648,4.909065934065934,0.3578543956043956,176.54749999999999
2004,MAM,True,92,0,151.70000000000002,1.648913043478261,45.25,119.65,15,2,5,17,23.46766304347826,30.554891304347823,15.828804347826088,39.625,9,4,46.875,9.634782608695653,0.20967934782608694,511.7475
2004,Monsoon,True,92,0,256.65000000000003,2.7896739130434787,30.2,59.7,41,0,9,12,28.044021739130436,33.01875,23.095923913043475,39.125,5,3,64.07608695652173,19.79429347826087,0.2438451086956522,448.3725
2004,Post-monsoon,True,61,0,179.9,2.9491803278688526,79.95,133.15,11,2,3,26,17.035655737704918,23.47622950819672,11.512295081967213,30.625,0,0,67.51639344262296,10.291393442622953,0.2628401639344262,167.2
2005,DJF,True,90,0,355.7,3.9522222222222223,45.6,113.45,25,2,10,18,9.4925,15.052777777777775,4.4686111111111115,21.3,0,0,73.19166666666666,4.424166666666666,0.36058333333333337,152.2275
2005,MAM,True,92,0,253.05000000000004,2.75054347826087,51.4,132.4,34,1,9,17,19.927445652173912,26.016847826086952,13.308423913043475,33.4,0,0,60.494565217391305,10.770923913043477,0.29020923913043484,418.4475
2005,Monsoon,True,92,0,328.00000000000006,3.5652173913043486,46.900000000000006,75.60000000000001,48,1,14,9,27.34130434782608,31.90027173913044,22.966847826086955,36.3,0,0,72.57065217391305,21.53858695652174,0.30791847826086954,412.2475
2005,Post-monsoon,True,61,0,68.2,1.118032786885246,22.3,36.25,12,0,4,15,17.792213114754098,24.89180327868852,11.609836065573772,33.325,0,0,56.15983606557377,7.899590163934426,0.2153114754098361,192.37999999999997
2006,DJF,True,90,0,163.7,1.8188888888888888,34.75,62.85,14,1,4,30,11.014166666666668,17.792222222222225,5.1,22.775,0,0,65.46944444444445,3.9924999999999993,0.2713027777777778,185.735
2006,MAM,True,92,0,96.5,1.048913043478261,19.25,22.35,20,0,4,22,22.928532608695654,29.53641304347826,15.635869565217389,41.025,20,7,48.79891304347826,9.296467391304347,0.22613043478260872,485.7150000000001
2006,Monsoon,True,92,0,384.9,4.183695652173912,53.15,114.05,49,1,9,10,27.23206521739131,31.755706521739125,22.842391304347824,38.95,2,1,71.65760869565217,21.069836956521737,0.3195380434782608,399.1825
2006,Post-monsoon,True,61,0,63.09999999999999,1.0344262295081965,19.05,35.85,11,0,3,15,19.3172131147541,25.547950819672135,13.578278688524586,33.95,0,0,60.65983606557377,10.425819672131148,0.21035655737704917,184.2125
2007,DJF,True,90,0,308.75,3.4305555555555554,50.05,125.5,21,4,6,22,10.282222222222222,16.47222222222222,4.827222222222222,21.875,0,0,70.39444444444445,4.477222222222222,0.3142527777777777,171.655
2007,MAM,True,92,0,268.54999999999995,2.9190217391304345,46.900000000000006,93.25,18,3,5,26,22.04619565217391,28.545923913043474,14.92608695652174,38.775,3,2,54.9375,10.976902173913043,0.26009239130434786,462.7574999999999
2007,Monsoon,True,92,0,280.5,3.0489130434782608,39.55,67.55,47,1,9,10,27.431793478260875,31.886413043478264,23.088586956521745,35.7,0,0,73.51358695652173,21.859239130434784,0.31272282608695656,415.6425
2007,Post-monsoon,True,61,0,11.850000000000001,0.19426229508196724,6.0,11.8,2,0,2,59,19.2827868852459,26.616393442622954,12.589344262295082,31.05,0,0,50.57377049180328,7.451229508196721,0.14259016393442628,207.61749999999998
2008,DJF,True,91,0,186.6,2.0505494505494504,49.2,105.7,19,1,6,22,9.25576923076923,15.469505494505494,3.6414835164835164,24.775,0,0,67.27747252747253,2.8016483516483515,0.29493131868131867,180.39499999999998
2008,MAM,True,92,0,147.65,1.6048913043478261,51.0,77.7,18,1,6,26,22.421739130434784,29.130434782608692,15.305706521739133,37.95,1,1,51.26358695652174,10.117391304347827,0.218241847826087,467.8699999999999
2008,Monsoon,True,92,0,372.15000000000003,4.045108695652174,72.55000000000001,110.85000000000001,49,1,10,10,26.891304347826086,31.464945652173913,22.475271739130434,35.65,0,0,72.60597826086956,21.050271739130437,0.32084239130434783,407.50499999999994
2008,Post-monsoon,True,61,0,50.5,0.8278688524590164,10.5,16.900000000000002,10,0,3,14,19.251639344262294,26.131557377049177,13.23811475409836,34.1,0,0,59.09836065573771,10.170081967213115,0.20290983606557375,190.46249999999998
2009,DJF,True,90,0,287.1,3.1900000000000004,51.25,57.09999999999999,29,1,5,13,11.472777777777777,17.61666666666667,6.004999999999999,22.475,0,0,71.33888888888889,5.91,0.35015,175.3575
2009,MAM,True,92,0,197.84999999999997,2.150543478260869,41.349999999999994,67.25,27,1,4,15,20.95625,27.35434782608695,14.088315217391305,38.625,2,2,57.51358695652174,10.750000000000002,0.28675,445.45249999999993
2009,Monsoon,True,92,0,244.7,2.659782608695652,31.9,48.449999999999996,31,0,6,13,28.61114130434783,33.73695652173913,23.4116847826087,40.575,9,4,62.546195652173914,19.76820652173913,0.24453260869565213,464.335
2009,Post-monsoon,True,61,0,34.3,0.5622950819672131,12.8,18.2,5,0,2,35,18.486475409836064,25.654918032786885,11.988524590163934,34.65,0,0,51.4344262295082,7.002049180327868,0.17618032786885243,202.005
2010,DJF,True,90,0,254.2,2.8244444444444445,57.849999999999994,117.6,14,2,5,53,11.419444444444444,17.911944444444444,5.694166666666667,22.075,0,0,65.25,4.383888888888889,0.2385166666666667,183.25999999999996
2010,MAM,True,92,0,69.95,0.7603260869565218,9.45,14.35,20,0,3,19,23.99293478260869,30.83315217391305,16.742934782608696,41.475,9,7,47.84510869565217,10.466304347826087,0.20117119565217392,516.29
2010,Monsoon,True,92,0,523.95,5.695108695652174,117.5,158.65,52,3,17,7,27.042663043478257,31.36902173913043,22.806250000000002,39.75,8,3,73.375,21.252989130434784,0.3271548913043478,394.62749999999994
2010,Post-monsoon,True,61,0,9.25,0.15163934426229508,5.800000000000001,8.4,2,0,2,40,19.5327868852459,26.395081967213113,13.393442622950818,31.3,0,0,57.15983606557377,9.959426229508196,0.15862704918032783,195.02
2011,DJF,True,90,0,215.3,2.3922222222222222,40.150000000000006,70.80000000000001,20,2,4,28,10.178055555555556,16.447777777777777,4.562222222222222,20.95,0,0,68.06666666666666,3.842777777777777,0.26039999999999996,171.87
2011,MAM,True,92,0,223.95,2.4342391304347823,54.2,79.05,26,2,4,19,21.608695652173914,28.203804347826086,14.625815217391308,39.7,11,6,56.58423913043478,11.026358695652174,0.2821875,454.515
2011,Monsoon,True,92,0,291.09999999999997,3.1641304347826082,25.15,48.55,47,0,10,8,27.381249999999998,31.86548913043478,23.089945652173913,36.85,0,0,71.8125,21.364673913043475,0.3010896739130434,402.73
2011,Post-monsoon,True,61,0,82.55000000000001,1.3532786885245904,20.1,28.75,13,0,4,15,19.05573770491803,25.70450819672131,13.379098360655739,33.15,0,0,62.6844262295082,10.87950819672131,0.24411475409836064,186.35500000000002
2012,DJF,True,91,0,163.3,1.7945054945054946,29.45,46.1,18,0,4,14,9.16456043956044,15.445329670329668,3.4535714285714287,21.849999999999998,0,0,66.53846153846153,2.501648351648351,0.28982967032967033,179.015
2012,MAM,True,92,0,110.50000000000001,1.2010869565217392,16.85,23.849999999999998,22,0,5,14,21.443478260869565,27.891304347826093,14.295108695652173,40.625,4,4,49.29347826086956,8.433152173913044,0.22193478260869565,478.39500000000004
2012,Monsoon,True,92,0,485.2,5.27391304347826,142.9,161.5,49,3,13,13,27.88913043478261,32.48967391304347,23.368478260869566,43.05,12,4,69.01902173913044,20.742119565217394,0.30469565217391303,422.38499999999993
2012,Post-monsoon,True,61,0,24.150000000000002,0.3959016393442623,5.65,8.200000000000001,8,0,2,34,17.752868852459017,24.525819672131146,11.638934426229508,31.4,0,0,57.01229508196721,8.106967213114753,0.1789508196721311,184.405
2013,DJF,True,90,0,369.2000000000001,4.102222222222223,90.4,174.35,22,4,5,16,9.926388888888889,15.979722222222222,4.401388888888889,21.175,0,0,70.3861111111111,4.179444444444445,0.3335055555555556,166.17500000000004
2013,MAM,True,92,0,136.2,1.4804347826086954,25.15,40.199999999999996,20,0,2,13,21.62608695652174,28.022826086956524,14.604347826086958,41.724999999999994,9,8,55.02173913043478,10.353260869565219,0.26116032608695655,466.215
2013,Monsoon,True,92,0,528.0,5.739130434782608,143.35,283.05,45,2,15,12,27.175,31.164130434782606,23.217119565217395,37.85,1,1,74.53532608695652,21.829619565217392,0.31740217391304354,378.57500000000005
2013,Post-monsoon,True,61,0,37.2,0.6098360655737706,10.8,23.45,7,0,3,23,18.625,24.83606557377049,13.086065573770492,31.725,0,0,61.959016393442624,10.365573770491803,0.20152049180327866,178.6725
2014,DJF,True,90,0,102.19999999999997,1.1355555555555552,31.349999999999998,67.5,15,0,5,13,10.11361111111111,16.35972222222222,4.458888888888889,22.45,0,0,67.11111111111111,3.5627777777777783,0.22625555555555554,180.34
2014,MAM,True,92,0,324.4500000000001,3.52663043478261,45.55,99.9,29,3,5,13,19.446195652173913,25.092934782608697,13.165217391304346,37.55,1,1,63.86684782608695,11.391304347826088,0.313241847826087,393.78999999999996
2014,Monsoon,True,92,0,633.0000000000001,6.880434782608697,183.2,362.9,35,4,5,11,27.54945652173913,31.888043478260872,23.108695652173914,39.1,4,4,70.78260869565217,21.22282608695652,0.2828804347826087,413.3950000000001
2014,Post-monsoon,True,61,0,45.95,0.7532786885245902,8.75,17.700000000000003,10,0,2,23,17.547950819672135,23.7983606557377,12.040163934426229,30.0,0,0,67.18032786885246,10.766393442622952,0.24799180327868853,168.7175
2015,DJF,True,90,0,166.15,1.8461111111111113,29.45,55.24999999999999,17,0,3,43,10.770833333333334,16.91777777777778,5.284722222222223,23.275,0,0,69.20555555555555,4.749722222222222,0.24908333333333335,176.845
2015,MAM,True,92,0,375.75000000000006,4.084239130434783,39.0,94.7,30,2,7,11,20.399456521739133,26.282880434782605,14.101902173913043,35.45,0,0,64.36141304347827,12.292934782608697,0.3248423913043478,411.1475
