component_id,component_name,radius_m,metric,theil_sen_slope_per_year,slope_low_95,slope_high_95,spearman_rho_year,n_epochs,interpretation
139-009,Giri complex of monuments,500,integrated_exposure_score,0.00022331154684095966,-0.010769789397240359,0.01197893972403774,0.3,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,500,ndvi_median,0.0065854817628860475,-0.003749638795852661,0.011001431941986084,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,500,mndwi_median,2.0298361778259278e-05,-0.0022176146507263184,0.0018489658832550049,-0.09999999999999999,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,500,ndbi_median,-0.003948017861694098,-0.006218910962343216,0.0008648302406072617,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,500,landscape_pressure_score,-0.013602941176470592,-0.030000000000000006,0.001764705882352935,-0.6,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,500,integrated_exposure_score,-0.009130355846042118,-0.01168119099491649,0.01472403776325345,-0.7,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,500,ndvi_median,0.0016647756099700927,-0.003289926052093506,0.008331727981567384,0.39999999999999997,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,500,mndwi_median,0.001600724458694458,-0.002626866102218628,0.00436984896659851,0.7,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,500,ndbi_median,-0.0009823271539062262,-0.004823646694421768,5.286410450935364e-05,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,500,landscape_pressure_score,-0.01573529411764706,-0.038235294117647055,-0.0035294117647058807,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,500,integrated_exposure_score,-0.006999818445896878,-0.01638707334785766,0.006488743645606388,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,500,ndvi_median,0.005490992218255997,0.0027561426162719727,0.008751189708709717,0.9999999999999999,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,500,mndwi_median,-0.0005404725670814514,-0.004914313554763794,0.001760333776473999,-0.3,5,descriptive_five_epoch_trajectory
