component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,mndwi_pressure,ndbi_pressure,built_share_pressure,bare_share_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,climate_extreme_score,integrated_exposure_score,local_priority_score
139-008,Kalawan group of buildings,250,E2004,2004,220,0.38111114501953125,0.328622043132782,0.4510171711444855,-0.003072751685976982,-0.06674814224243164,0.042352717369794846,-0.4604091942310333,-0.48024386167526245,-0.4091074764728546,0.07288794964551926,0.01255384273827076,0.11209285259246826,220,0.00909090909090909,0.0,0.35909090909090907,0.00909090909090909,0.6227272727272727,0.0,0.7470588235294118,0.9235294117647059,0.8647058823529412,0.3058823529411765,0.3235294117647059,0.8058823529411765,0.8647058823529412,0.3627450980392157,0.4411764705882353,0.20588235294117646,0.4411764705882353,0.5166666666666666,0.5813725490196079,0.6137254901960785
139-008,Kalawan group of buildings,250,E2009,2009,220,0.36962708830833435,0.3126365542411804,0.4369095265865326,0.0013290185015648603,-0.0583985410630703,0.050885800272226334,-0.45463573932647705,-0.48529815673828125,-0.39711254835128784,0.07536973059177399,0.0213435348123312,0.11718304455280304,220,0.03636363636363636,0.0,0.29545454545454547,0.0,0.6681818181818182,0.0,0.8529411764705882,0.9,0.888235294117647,0.4411764705882353,0.3235294117647059,0.8705882352941177,0.8852941176470588,0.3627450980392157,0.4411764705882353,0.20588235294117646,0.4411764705882353,0.462037037037037,0.5700254175744371,0.6240196078431373
139-008,Kalawan group of buildings,250,E2014,2014,220,0.3793463706970215,0.3025815188884735,0.48927590250968933,0.007652475498616695,-0.07971103489398956,0.06301067024469376,-0.4434022009372711,-0.48572421073913574,-0.397378146648407,0.0742630660533905,-0.005942144431173801,0.12130700796842575,220,0.01818181818181818,0.04090909090909091,0.31363636363636366,0.06363636363636363,0.5636363636363636,0.0,0.7705882352941177,0.8411764705882353,0.9352941176470588,0.38823529411764707,0.8176470588235294,0.8529411764705883,0.8470588235294119,0.3627450980392157,0.4411764705882353,0.20588235294117646,0.4411764705882353,0.4842592592592592,0.5646877269426289,0.6049019607843138
139-008,Kalawan group of buildings,250,E2019,2019,220,0.4423191249370575,0.37039729952812195,0.5346314311027527,-0.04376278817653656,-0.12511470913887024,0.0017123271245509386,-0.4505850672721863,-0.48458990454673767,-0.40193596482276917,0.030626263469457626,-0.044791191816329956,0.07451178878545761,220,0.0,0.0,0.2545454545454545,0.14545454545454545,0.6,0.0,0.4294117647058823,0.8764705882352941,0.5823529411764706,0.12352941176470589,0.3235294117647059,0.5058823529411764,0.6911764705882353,0.3627450980392157,0.4411764705882353,0.20588235294117646,0.4411764705882353,0.3138888888888889,0.4559368191721133,0.5269607843137255
139-008,Kalawan group of buildings,250,E2024,2024,220,0.5389856100082397,0.42891258001327515,0.609224259853363,-0.12008039653301239,-0.19104395806789398,-0.05136410519480705,-0.4605129063129425,-0.49150386452674866,-0.41371235251426697,-0.040299419313669205,-0.11180824041366577,0.025127945467829704,220,0.0,0.0,0.1318181818181818,0.3090909090909091,0.5590909090909091,0.0,0.12352941176470589,0.9352941176470588,0.18235294117647058,0.12352941176470589,0.3235294117647059,0.15294117647058825,0.5441176470588236,0.3627450980392157,0.4411764705882353,0.20588235294117646,0.4411764705882353,0.5259259259259259,0.4775962236746551,0.45343137254901966
139-009,Giri complex of monuments,250,E2004,2004,214,0.550095796585083,0.4829978942871094,0.6020787358283997,-0.1534760594367981,-0.23092839121818542,-0.07305722683668137,-0.4324811100959778,-0.4783889651298523,-0.38781648874282837,-0.07324008643627167,-0.14514362812042236,3.490777453407645e-05,214,0.0,0.0,0.07009345794392523,0.6915887850467289,0.2383177570093458,0.0,0.07647058823529412,0.6764705882352942,0.1,0.12352941176470589,0.3235294117647059,0.08823529411764706,0.3823529411764706,0.5392156862745098,0.7352941176470589,0.14705882352941177,0.7352941176470589,0.5166666666666666,0.47941176470588237,0.4607843137254902
139-009,Giri complex of monuments,250,E2009,2009,214,0.518130898475647,0.44489869475364685,0.5858319997787476,-0.14606979489326477,-0.2154962569475174,-0.04577760398387909,-0.42716920375823975,-0.4668174386024475,-0.38527125120162964,-0.06613393127918243,-0.13432347774505615,0.019690897315740585,214,0.0,0.0,0.10747663551401869,0.616822429906542,0.2757009345794392,0.0,0.20588235294117646,0.5823529411764706,0.12352941176470589,0.12352941176470589,0.3235294117647059,0.16470588235294117,0.3735294117647059,0.5392156862745098,0.7352941176470589,0.14705882352941177,0.7352941176470589,0.462037037037037,0.4582607116920842,0.45637254901960783
139-009,Giri complex of monuments,250,E2014,2014,214,0.6094837188720703,0.47277742624282837,0.6851534843444824,-0.17164592444896698,-0.26876145601272583,-0.03705601021647453,-0.4648666977882385,-0.49197518825531006,-0.430559366941452,-0.09476760029792786,-0.1875120997428894,0.033653903752565384,214,0.0,0.0,0.03271028037383177,0.7149532710280374,0.2523364485981308,0.0,0.041176470588235294,0.9588235294117647,0.06470588235294118,0.12352941176470589,0.3235294117647059,0.05294117647058824,0.5058823529411764,0.5392156862745098,0.7352941176470589,0.14705882352941177,0.7352941176470589,0.4842592592592592,0.5097857661583151,0.5225490196078431
139-009,Giri complex of monuments,250,E2019,2019,214,0.624665379524231,0.4883708655834198,0.7016202807426453,-0.19095471501350403,-0.30116385221481323,-0.07378628849983215,-0.46002882719039917,-0.48688676953315735,-0.42274507880210876,-0.1140122264623642,-0.21561187505722046,0.004207222256809473,214,0.0,0.0,0.0514018691588785,0.7476635514018691,0.20093457943925233,0.0,0.029411764705882353,0.9117647058823529,0.029411764705882353,0.12352941176470589,0.3235294117647059,0.029411764705882353,0.47058823529411764,0.5392156862745098,0.7352941176470589,0.14705882352941177,0.7352941176470589,0.3138888888888889,0.4412309368191721,0.5049019607843137
139-009,Giri complex of monuments,250,E2024,2024,214,0.6628482341766357,0.5406546592712402,0.7301334738731384,-0.23174360394477844,-0.3218517303466797,-0.11868724972009659,-0.4637450575828552,-0.48808082938194275,-0.433738112449646,-0.15208353102207184,-0.24301445484161377,-0.03890000283718109,214,0.0,0.0,0.004672897196261682,0.9065420560747663,0.08878504672897196,0.0,0.0058823529411764705,0.9470588235294117,0.0058823529411764705,0.12352941176470589,0.3235294117647059,0.0058823529411764705,0.4764705882352941,0.5392156862745098,0.7352941176470589,0.14705882352941177,0.7352941176470589,0.5259259259259259,0.5138707334785766,0.5078431372549019
