component_id,component_name,radius_m,terrain_model,landscape_weight,terrain_weight,score,rank,top3,top5
139-008,Kalawan group of buildings,500,reduced_slope_drainage,0.25,0.75,0.49485294117647055,9,False,False
139-009,Giri complex of monuments,500,reduced_slope_drainage,0.25,0.75,0.788235294117647,2,True,True
139-010,Kunala stupa and monastery,500,reduced_slope_drainage,0.25,0.75,0.5102941176470588,8,False,False
139-011,Jandial complex,500,reduced_slope_drainage,0.25,0.75,0.3066176470588235,13,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,reduced_slope_drainage,0.25,0.75,0.17279411764705882,16,False,False
139-013,Mohra Moradu stupa and monastery,500,reduced_slope_drainage,0.25,0.75,0.7426470588235294,5,False,True
139-014,Pippala stupa and monastery,500,reduced_slope_drainage,0.25,0.75,0.5544117647058824,6,False,False
139-015,Jaulian stupa and monastery,500,reduced_slope_drainage,0.25,0.75,0.7470588235294118,3,True,True
139-016,Lalchak mounds,500,reduced_slope_drainage,0.25,0.75,0.17279411764705882,17,False,False
139-017,Buddhist remains around Bhallar stupa,500,reduced_slope_drainage,0.25,0.75,0.5257352941176471,7,False,False
139-018,Giri Mosque and tombs,500,reduced_slope_drainage,0.25,0.75,0.8058823529411765,1,True,True
139-001,Khanpur Cave,500,reduced_slope_drainage,0.5,0.5,0.46029411764705885,11,False,False
139-003,Bhir Mound,500,reduced_slope_drainage,0.5,0.5,0.2514705882352941,17,False,False
139-004,Sirkap (fortified city),500,reduced_slope_drainage,0.5,0.5,0.4308823529411765,12,False,False
139-005,Sirsukh (fortified ruined city),500,reduced_slope_drainage,0.5,0.5,0.3838235294117647,13,False,False
