radius_m,component_a,component_b,distance_m,intersection_area_m2,jaccard_overlap,flag_cluster_aware
500,Kalawan group of buildings,Mohra Moradu stupa and monastery,2567.59283700232,0.0,0.0,False
500,Kalawan group of buildings,Pippala stupa and monastery,3312.0279898420445,0.0,0.0,False
500,Kalawan group of buildings,Jaulian stupa and monastery,3896.2849356619836,0.0,0.0,False
500,Kalawan group of buildings,Lalchak mounds,3250.7026043297788,0.0,0.0,False
500,Kalawan group of buildings,Buddhist remains around Bhallar stupa,7573.35575290825,0.0,0.0,False
500,Kalawan group of buildings,Giri Mosque and tombs,4300.867829907855,0.0,0.0,False
500,Giri complex of monuments,Kunala stupa and monastery,5365.184095194869,0.0,0.0,False
500,Giri complex of monuments,Jandial complex,6388.531875892435,0.0,0.0,False
500,Giri complex of monuments,Lalchak and Badalpur Buddhist stuppa,6016.883406757395,0.0,0.0,False
500,Giri complex of monuments,Mohra Moradu stupa and monastery,4106.857208724669,0.0,0.0,False
500,Giri complex of monuments,Pippala stupa and monastery,4367.02871250067,0.0,0.0,False
500,Giri complex of monuments,Jaulian stupa and monastery,4056.6557176969663,0.0,0.0,False
500,Giri complex of monuments,Lalchak mounds,5929.575574090763,0.0,0.0,False
500,Giri complex of monuments,Buddhist remains around Bhallar stupa,10793.852370783505,0.0,0.0,False
500,Kunala stupa and monastery,Jandial complex,1559.9412434143971,0.0,0.0,False
500,Kunala stupa and monastery,Lalchak and Badalpur Buddhist stuppa,4847.534888059356,0.0,0.0,False
500,Kunala stupa and monastery,Mohra Moradu stupa and monastery,2982.3538650055234,0.0,0.0,False
500,Kunala stupa and monastery,Pippala stupa and monastery,3683.57693237984,0.0,0.0,False
500,Kunala stupa and monastery,Jaulian stupa and monastery,4370.671725978285,0.0,0.0,False
500,Kunala stupa and monastery,Lalchak mounds,3133.067402794231,0.0,0.0,False
500,Kunala stupa and monastery,Buddhist remains around Bhallar stupa,7005.10904792865,0.0,0.0,False
500,Kunala stupa and monastery,Giri Mosque and tombs,5203.24231204354,0.0,0.0,False
500,Jandial complex,Lalchak and Badalpur Buddhist stuppa,4102.020903606601,0.0,0.0,False
500,Jandial complex,Mohra Moradu stupa and monastery,3000.857407094867,0.0,0.0,False
500,Jandial complex,Pippala stupa and monastery,3503.245544452148,0.0,0.0,False
500,Jandial complex,Jaulian stupa and monastery,4299.047274930819,0.0,0.0,False
500,Jandial complex,Lalchak mounds,2203.5343982941404,0.0,0.0,False
500,Jandial complex,Buddhist remains around Bhallar stupa,5450.128911503959,0.0,0.0,False
500,Jandial complex,Giri Mosque and tombs,6279.48571326485,0.0,0.0,False
500,Lalchak and Badalpur Buddhist stuppa,Mohra Moradu stupa and monastery,2385.7644617709425,0.0,0.0,False
500,Lalchak and Badalpur Buddhist stuppa,Pippala stupa and monastery,1765.9116787115292,0.0,0.0,False
500,Lalchak and Badalpur Buddhist stuppa,Jaulian stupa and monastery,1978.160015529249,0.0,0.0,False
500,Lalchak and Badalpur Buddhist stuppa,Lalchak mounds,1902.0756391259592,0.0,0.0,False
500,Lalchak and Badalpur Buddhist stuppa,Buddhist remains around Bhallar stupa,5288.736017281028,0.0,0.0,False
500,Lalchak and Badalpur Buddhist stuppa,Giri Mosque and tombs,6104.662018120678,0.0,0.0,False
500,Mohra Moradu stupa and monastery,Jaulian stupa and monastery,1391.5825624698377,0.0,0.0,False
500,Mohra Moradu stupa and monastery,Lalchak mounds,1829.0761072623006,0.0,0.0,False
500,Mohra Moradu stupa and monastery,Buddhist remains around Bhallar stupa,6687.114959376352,0.0,0.0,False
500,Mohra Moradu stupa and monastery,Giri Mosque and tombs,4113.691885172915,0.0,0.0,False
500,Pippala stupa and monastery,Lalchak mounds,1854.389972806596,0.0,0.0,False
500,Pippala stupa and monastery,Buddhist remains around Bhallar stupa,6519.447203190436,0.0,0.0,False
500,Pippala stupa and monastery,Giri Mosque and tombs,4422.101414706891,0.0,0.0,False
500,Jaulian stupa and monastery,Lalchak mounds,2611.5922062001287,0.0,0.0,False
500,Jaulian stupa and monastery,Buddhist remains around Bhallar stupa,7092.0760060723205,0.0,0.0,False
500,Jaulian stupa and monastery,Giri Mosque and tombs,4162.574050395383,0.0,0.0,False
500,Lalchak mounds,Buddhist remains around Bhallar stupa,4873.220744055769,0.0,0.0,False
500,Lalchak mounds,Giri Mosque and tombs,5923.883219311387,0.0,0.0,False
500,Buddhist remains around Bhallar stupa,Giri Mosque and tombs,10795.77942815452,0.0,0.0,False
1000,Khader Mohra (Akhuri),Mohra Moradu stupa and monastery,44.550843145675216,3052498.3364733686,0.9448449707914917,False
1000,Sirsukh (fortified ruined city),Lalchak mounds,244.70247007571515,2653411.521070951,0.7310129163491451,False
1000,Giri complex of monuments,Giri Mosque and tombs,298.1682371429495,2547472.639610586,0.6819241377223865,False
1000,Dharmarajika stupa and monastery,Kalawan group of buildings,324.491913879029,2495467.4569680034,0.6588314007677752,False
1000,Sirkap (fortified city),Kunala stupa and monastery,347.8844716570877,2449348.327347493,0.6388764937665045,False
1000,Mohra Moradu stupa and monastery,Pippala stupa and monastery,747.5695606964217,1682037.8447603798,0.365569210397789,False
1000,Khader Mohra (Akhuri),Pippala stupa and monastery,792.1157863498661,1599812.3642303925,0.34159405704363266,False
1000,Pippala stupa and monastery,Jaulian stupa and monastery,805.0131326245506,1576163.1241656747,0.3348535577022617,False
1000,Kalawan group of buildings,Kunala stupa and monastery,903.4151413918272,1398239.5816776787,0.28623441492464397,False
1000,Sirkap (fortified city),Kalawan group of buildings,1208.1260046950144,881613.6780574304,0.1632142899492952,False
1000,Dharmarajika stupa and monastery,Kunala stupa and monastery,1227.7422520238406,850494.9546265083,0.15655134002379142,False
1000,Sirkap (fortified city),Jandial complex,1229.3205760340443,848004.0461781241,0.15602130001858938,False
1000,Bhir Mound,Kunala stupa and monastery,1340.7088512591392,677358.9868244212,0.12083124736934522,False
1000,Mohra Moradu stupa and monastery,Jaulian stupa and monastery,1391.5825624698377,603054.7750752087,0.10616917545586557,False
1000,Khader Mohra (Akhuri),Jaulian stupa and monastery,1430.9852135424212,547219.3963880566,0.09540143803130509,False
1000,Bhir Mound,Sirkap (fortified city),1433.8975501063214,543154.5107939069,0.09462571370451785,False
1000,Sirkap (fortified city),Dharmarajika stupa and monastery,1530.6626467045983,413290.3979830841,0.07040848335045528,False
1000,Kunala stupa and monastery,Jandial complex,1559.9412434143971,376118.51694507105,0.0636726365726667,False
1000,Sirsukh (fortified ruined city),Mohra Moradu stupa and monastery,1621.9528143382859,300984.28283015767,0.050313301342609106,False
1000,Sirsukh (fortified ruined city),Khader Mohra (Akhuri),1627.456871809626,294564.73292986455,0.04918740956748104,False
1000,Sirsukh (fortified ruined city),Pippala stupa and monastery,1720.0390772084254,193307.6916174956,0.03174245917906734,False
1000,Lalchak and Badalpur Buddhist stuppa,Pippala stupa and monastery,1765.9116787115292,148331.32283455168,0.024178460190424196,False
1000,Mohra Moradu stupa and monastery,Lalchak mounds,1829.0761072623006,93002.75036892947,0.015024233859889087,False
